id_str,country,place_type,full_name,name,created_at,text,sentiment
926657676427141120,United States,poi,Sacramento International Airport (SMF),Sacramento International Airport (SMF),2017-11-01,Here I go again. This @SouthwestAir crew is hilarious ,positive
926664432654143488,United States,city,"Hicksville, NY",Hicksville,2017-11-01,My @SouthwestAir flight 1819 had the best jokes during the safety announcements! Way to make you pay attention!,positive
926665574259634176,United States,city,"Rocklin, CA",Rocklin,2017-11-01,@wdrkb https://t.co/i2JjudQDm4,neutral
926678943029018629,United States,city,"Oakland, CA",Oakland,2017-11-01,My favorite airline  https://t.co/PXGvIFLcZH,positive
926681051526709248,United States,city,"Enterprise, NV",Enterprise,2017-11-01,"@SouthwestAir flight was amazing except 1 rlly horrible employee. Thankfully, another employee went above and beyond to make up for bad one",negative
926681219659526145,United States,country,United States,United States,2017-11-01,@SouthwestAir Why am I seeing this Ad. I am in South Carolina. Terrorists hacking into my internet/Twitter connecti https://t.co/sbw90TLnNk,neutral
926681247962640384,United States,city,"Enterprise, NV",Enterprise,2017-11-01,@SouthwestAir she was completely rude to point of ppl in two rows looking at each other like WTF is her problem. She shd work for American,neutral
926681383342190592,United States,country,United States,United States,2017-11-01,@SouthwestAir See https://t.co/zV2krmlrqg,neutral
926681733457616897,United States,city,"Paradise, NV",Paradise,2017-11-01,When a @SpiritAirlines employee gets on a @SouthwestAir flight in full uniform. https://t.co/lRznURY5u4,neutral
926683951464292352,United States,city,"Paradise, NV",Paradise,2017-11-01,No worries. One attendant deserves a raise. The other one a pink slip  https://t.co/AUZOMEgw4v,negative
926684813762863109,United States,city,"Arnolds Park, IA",Arnolds Park,2017-11-01,@SpartanScott23 https://t.co/gWzZB4zyLi,neutral
926688031419129856,United States,city,"Severn, MD",Severn,2017-11-01,God has been faithful all the way @ Southwest Airlines at BWI https://t.co/vwQ7Myhc36,positive
926689671907753984,United States,city,"Lakewood, CA",Lakewood,2017-11-01, https://t.co/mtZGmzLWci,neutral
926692735175688192,United States,city,"Los Angeles, CA",Los Angeles,2017-11-01,worst flight EVERRRRRR @Vee_Swift @SouthwestAir,neutral
926692964264316928,United States,city,"Los Angeles, CA",Los Angeles,2017-11-01,@kimberss_ @SouthwestAir OF ALL TIME !!!!!! ,neutral
926693753439399936,United States,city,"Lakewood, CA",Lakewood,2017-11-01,@njdalegend @SouthwestAir Lmao Im done. Leave the homies at @SouthwestAir alone.,neutral
926699220077223941,United States,city,"Carmichael, CA",Carmichael,2017-11-01,"@SouthwestAir On my last two rt flights, Ive paid the $8 for WiFi &amp; everytime it stops working when there is about https://t.co/NsbNbWnYJU",neutral
926700225686773760,United States,city,"Irvine, CA",Irvine,2017-11-01,"Good to know! Thanks @SouthwestAir for allowing for last minute changes without major fees, two free bags, and frie https://t.co/f5Xe0huC69",positive
926702720689623041,Nigeria,city,"Victoria Island, Nigeria",Victoria Island,2017-11-01,"Big fail... 

Who thinks up ideas like this?  https://t.co/nhTmFhjqKY",neutral
926703128220540929,United States,city,"Phoenix, AZ",Phoenix,2017-11-01,@SouthwestAir Love you guys was a bit turbulent but a perfect flight other than that we are safe landed at Sky Harb https://t.co/A0XXxDmTgu,positive
926703413408055296,United States,city,"Phoenix, AZ",Phoenix,2017-11-01,Love y'all @SouthwestAir see you again for trip to out of 6 in a couple days https://t.co/NYZjJjMRom,positive
