id_str,text,category
9.26325E+17,"Southwest Airlines flight #SWA432 spotted at 16,775 feet! https://t.co/X80ugao76Q",neutral
9.26325E+17,"Southwest Airlines flight #SWA227 spotted at 18,500 feet! https://t.co/FBjyFKMQEi",neutral
9.26327E+17,So cool @jasminecainrock  i bet they loved that live show @ the airport . https://t.co/TSizhtlsAz,positive
9.26327E+17,"Southwest Airlines flight #SWA227 spotted at 4,950 feet! https://t.co/FBjyFKMQEi",neutral
9.26327E+17,"Southwest Airlines flight #SWA432 spotted at 29,000 feet! https://t.co/X80ugao76Q",neutral
9.26327E+17,@SouthwestAir Nobody was there when our flight got in. Like it was literally empty in Spokane international airport https://t.co/386lkfEK2l,negative
9.26327E+17,Southwest Airlines To Feature Live Country Music Concerts On Its Flights #muslim https://t.co/8Ak5PZCPP8 (via https://t.co/WgePG1dQmn,neutral
9.26327E+17,@SouthwestAir Youll for this too happen.,neutral
9.26328E+17,SMF to Austin nonstop? Lets go. https://t.co/5Zwxi5Uhg8,positive
9.26328E+17,"Oh my god  always do but had to get to ATL on super short notice for super cheap. Sorry, next time. https://t.co/fYDbjABE8i",negative
9.26328E+17,Thank you @SouthwestAir for providing me with a voucher after a delay during my travel plans this past week. #bestairline,positive
9.26328E+17,@SouthwestAir I love this story!,positive
9.2633E+17,@lovejozie @SouthwestAir Its my disguise for my corporate name ,neutral
9.26333E+17,@WillBurke24 @SouthwestAir Absolute drama,negative
9.26333E+17,"This 6-year-old girl wants to be a Southwest Airlines pilot so badly, she wears a uniform on every flight https://t.co/ipkM1d8Gig",positive
9.26335E+17,#SouthwestAir Trying Out In-#Flight Live Music - Nasdaq : https://t.co/YiRmSakZKT,neutral
9.26335E+17,@SouthwestAir @heyd4rth,neutral
9.26336E+17,"Specifically mentioned in the expansion plans are Southwest Airlines, United, and Frontier Airlines. #UnitedAirlines https://t.co/SB8k55r04Z",neutral
9.26336E+17,"Southwest Airlines flight #SWA633 spotted at 2,000 feet! https://t.co/glV0ynXAz2",neutral
9.26336E+17,"@Jimapedia @MCO #RaceToMCO @PHLAirport @BUFAirport @SouthwestAir https://t.co/AwypahpXyC",neutral
9.26341E+17,wtf @SouthwestAir losing my bag!!!!!!!!!!!!,negative
9.26344E+17,I might consider an Orlando City SC trip now https://t.co/6ritdLobk6,positive
9.26344E+17,@jasminecainrock @SouthwestAir Yeah! Janis,positive
9.26344E+17,@SouthwestAir About time we have a non stop to Cabo! ,neutral
9.26345E+17,Ohooooo #luv https://t.co/L34gzH5xzK,positive
9.26345E+17,This is the greatest thing thats happened since @realDonaldTrump had his twitter shut down https://t.co/IT4xGlO8Vf,positive
9.26345E+17,Keep those mimosas flowing @SouthwestAir https://t.co/r1MgSCKzR7,positive
9.26346E+17,"$% +1_877_294_2845 $%Southwest Airlines Booking Phone NumberCall Southwest Airlines Booking Phone Number and get https://t.co/vR00FMA5MG",neutral
9.26348E+17,"@SouthwestAir My one and only airline, always and Forever",positive
9.26349E+17,"@iAlwaysQuestion @ICU1972 It's why American Airlines got Congress to enact the Wright Amendment, to protect them fr https://t.co/cZBSII8PMC",neutral
